iter	MultiClass
0	4.009518577
1	3.99161199
2	3.96511384
3	3.942644498
4	3.928721927
5	3.909849178
6	3.886757874
7	3.860835276
8	3.848472812
9	3.830512232
10	3.808274105
11	3.797021555
12	3.780320695
13	3.765768742
14	3.755519508
15	3.747003688
16	3.733123688
17	3.718487305
18	3.70915657
19	3.686899979
20	3.673118935
21	3.652000979
22	3.643460641
23	3.634780287
24	3.627391525
25	3.606983775
26	3.592147218
27	3.577467008
28	3.569678592
29	3.562944392
30	3.55317801
31	3.546045104
32	3.537668294
33	3.529446806
34	3.522683911
35	3.516451711
36	3.502140272
37	3.49621821
38	3.489862696
39	3.482300357
40	3.475231347
41	3.469660742
42	3.45768348
43	3.449474739
44	3.439279168
45	3.434004322
46	3.427090307
47	3.42032315
48	3.409725511
49	3.40211834
50	3.395488622
51	3.38895473
52	3.384130888
53	3.371105682
54	3.358161346
55	3.350623385
56	3.345666503
57	3.331629563
58	3.32556681
59	3.319644972
60	3.310331579
61	3.304488902
62	3.2924552
63	3.284490295
64	3.270806008
65	3.259546497
66	3.246014862
67	3.242288093
68	3.236750667
69	3.230384733
70	3.226206149
71	3.217057078
72	3.207782832
73	3.196533232
74	3.187591236
75	3.17687027
76	3.171155895
77	3.166062313
78	3.158498295
79	3.147525096
80	3.13679958
81	3.130153208
82	3.12171587
83	3.118512393
84	3.113620518
85	3.108733749
86	3.105282796
87	3.09707332
88	3.093678778
89	3.086181258
90	3.081569731
91	3.07356277
92	3.066957918
93	3.062613059
94	3.050962084
95	3.042795573
96	3.039606696
97	3.035176045
98	3.024230254
99	3.019907467
100	3.007938834
101	3.000245655
102	2.991901772
103	2.98730587
104	2.982127662
105	2.975779988
106	2.971657334
107	2.968572477
108	2.963995469
109	2.959868038
110	2.951847671
111	2.948130061
112	2.939035068
113	2.931873424
114	2.925249917
115	2.915814726
116	2.912922359
117	2.906477162
118	2.898798115
119	2.894960464
120	2.886724812
121	2.878339657
122	2.875158438
123	2.868833755
124	2.865382296
125	2.856025286
126	2.853673949
127	2.845055721
128	2.837758242
129	2.83544873
130	2.831872596
131	2.822033176
132	2.817348009
133	2.81142291
134	2.805988688
135	2.797345616
136	2.793621083
137	2.790412824
138	2.78239977
139	2.779064071
140	2.77443482
141	2.770477458
142	2.767301374
143	2.763145193
144	2.760796698
145	2.756659886
146	2.753431429
147	2.750042381
148	2.74579639
149	2.737763536
150	2.735407714
151	2.732397495
152	2.728560369
153	2.724794442
154	2.717966976
155	2.714330996
156	2.71179679
157	2.708580308
158	2.702783492
159	2.698325875
160	2.696371407
161	2.692553654
162	2.685464308
163	2.683036883
164	2.678180951
165	2.672153276
166	2.6662682
167	2.662913521
168	2.653435543
169	2.648372332
170	2.641446635
171	2.634991625
172	2.627803315
173	2.624778338
174	2.621786669
175	2.619115745
176	2.610886758
177	2.60502824
178	2.599155002
179	2.59717474
180	2.592620866
181	2.58850496
182	2.58178805
183	2.579118393
184	2.573707954
185	2.571246095
186	2.565929723
187	2.563960687
188	2.559034273
189	2.55536528
190	2.551208537
191	2.542873565
192	2.540410367
193	2.538546528
194	2.53597566
195	2.531031549
196	2.52736911
197	2.525536868
198	2.518637501
199	2.510850764
200	2.508656327
201	2.503266135
202	2.498407189
203	2.494805597
204	2.490728497
205	2.48527822
206	2.482379868
207	2.479711328
208	2.474376724
209	2.472491732
210	2.46554469
211	2.462927183
212	2.458869709
213	2.452949077
214	2.449644071
215	2.445153714
216	2.440751084
217	2.43760311
218	2.434236946
219	2.428659092
220	2.423071129
221	2.415940934
222	2.410830179
223	2.407177915
224	2.400610022
225	2.395278878
226	2.39288474
227	2.387209882
228	2.384779276
229	2.379652263
230	2.376014093
231	2.3708298
232	2.366272685
233	2.364452967
234	2.362091552
235	2.358433648
236	2.356074547
237	2.353387277
238	2.349822735
239	2.343460524
240	2.340652411
241	2.335912949
242	2.329606981
243	2.327443704
244	2.321830968
245	2.315446117
246	2.313930562
247	2.311027598
248	2.308451309
249	2.305279519
250	2.303547279
251	2.301272376
252	2.296811672
253	2.290796533
254	2.28597664
255	2.282662824
256	2.278390278
257	2.275668236
258	2.273826945
259	2.26741611
260	2.26206969
261	2.258064823
262	2.252923141
263	2.249522859
264	2.246097873
265	2.243934185
266	2.239753334
267	2.235124367
268	2.233686402
269	2.229184101
270	2.225405388
271	2.223375764
272	2.217677568
273	2.211564237
274	2.209429907
275	2.203854033
276	2.199386522
277	2.19374395
278	2.190032629
279	2.186126395
280	2.183869993
281	2.178818687
282	2.174319338
283	2.169878232
284	2.164446523
285	2.161285173
286	2.157717571
287	2.155032162
288	2.150029691
289	2.145901274
290	2.143505116
291	2.13849649
292	2.134269676
293	2.129472799
294	2.128298087
295	2.124448354
296	2.120940822
297	2.115797516
298	2.111369626
299	2.107714004
300	2.103780973
301	2.098917359
302	2.093796039
303	2.090810547
304	2.086515113
305	2.084041229
306	2.08069532
307	2.077227989
308	2.074298827
309	2.071126923
310	2.067141102
311	2.065231206
312	2.061095161
313	2.056197376
314	2.051833571
315	2.047673497
316	2.043219307
317	2.039034277
318	2.036960967
319	2.032299766
320	2.029986479
321	2.026008559
322	2.022868674
323	2.018988856
324	2.014831281
325	2.01031322
326	2.005836655
327	2.002817162
328	1.998436724
329	1.995166151
330	1.990605647
331	1.986594425
332	1.983388157
333	1.979587041
334	1.977830582
335	1.97521649
336	1.970622838
337	1.966387257
338	1.964039428
339	1.960478461
340	1.957452241
341	1.953284629
342	1.94973839
343	1.945434035
344	1.943777559
345	1.940822281
346	1.93897986
347	1.934840545
348	1.933302153
349	1.931150067
350	1.927416764
351	1.925620058
352	1.923538424
353	1.920084487
354	1.918993501
355	1.914480903
356	1.91135319
357	1.908651544
358	1.905725042
359	1.902702294
360	1.90049789
361	1.898798891
362	1.894158715
363	1.892915608
364	1.891834908
365	1.889738288
366	1.886631447
367	1.882524196
368	1.881567901
369	1.878540313
370	1.874784578
371	1.871553729
372	1.869388964
373	1.867696091
374	1.864548238
375	1.860814806
376	1.858742766
377	1.855851152
378	1.853235926
379	1.849336899
380	1.847802219
381	1.84423112
382	1.841940017
383	1.838842532
384	1.835799893
385	1.832382523
386	1.829183121
387	1.827171981
388	1.823690995
389	1.821802809
390	1.819092447
391	1.81536402
392	1.814359002
393	1.812133814
394	1.809247469
395	1.808186292
396	1.805570439
397	1.802055992
398	1.800112855
399	1.796450366
400	1.792711421
401	1.789338473
402	1.786853482
403	1.783313825
404	1.779642052
405	1.775977946
406	1.772966303
407	1.770349683
408	1.76827826
409	1.764792488
410	1.762534013
411	1.760252887
412	1.75754254
413	1.755091029
414	1.752796209
415	1.750861952
416	1.748374362
417	1.746108278
418	1.743516844
419	1.74167392
420	1.739781768
421	1.737443831
422	1.734232579
423	1.731064975
424	1.72835277
425	1.724257517
426	1.721461982
427	1.717989904
428	1.716740609
429	1.713757817
430	1.711023497
431	1.708267696
432	1.705425857
433	1.702211055
434	1.699552883
435	1.695837239
436	1.692793378
437	1.689759468
438	1.686468326
439	1.684298148
440	1.681593811
441	1.678128181
442	1.674701808
443	1.673226558
444	1.669754427
445	1.667469918
446	1.664789663
447	1.662101712
448	1.658614332
449	1.656164592
450	1.653695559
451	1.650944344
452	1.647848005
453	1.644861698
454	1.642309589
455	1.64006933
456	1.637922244
457	1.635499656
458	1.632709864
459	1.629797931
460	1.626711975
461	1.624069175
462	1.621488111
463	1.618279655
464	1.615318765
465	1.61278127
466	1.611552856
467	1.609192344
468	1.606762613
469	1.604338941
470	1.601893374
471	1.600199368
472	1.597745049
473	1.594356916
474	1.593473952
475	1.591641223
476	1.588949396
477	1.586115671
478	1.583584666
479	1.581248911
480	1.578896293
481	1.576026674
482	1.574250114
483	1.570942863
484	1.568659312
485	1.565767313
486	1.562649353
487	1.560205938
488	1.5578293
489	1.555322373
490	1.552523544
491	1.549970279
492	1.547331327
493	1.544441866
494	1.541992403
495	1.539685713
496	1.536720904
497	1.533810279
498	1.53182823
499	1.529335044
500	1.526663253
501	1.523704787
502	1.521764205
503	1.519080532
504	1.516060325
505	1.51447693
506	1.511676843
507	1.508959308
508	1.50826489
509	1.505634287
510	1.503490453
511	1.501449321
512	1.49911463
513	1.496173288
514	1.493480439
515	1.491233026
516	1.488276235
517	1.48585913
518	1.484210868
519	1.483466932
520	1.481101285
521	1.478607055
522	1.476018615
523	1.473581981
524	1.471860845
525	1.470845242
526	1.468314851
527	1.46573255
528	1.463199795
529	1.460483962
