iter	Passed	Remaining
0	289	288884
1	688	343492
2	1039	345548
3	1384	344800
4	1668	331939
5	2061	341494
6	2376	337158
7	2705	335521
8	2978	327976
9	3282	324960
10	3600	323680
11	3864	318145
12	4178	317233
13	4510	317687
14	4742	311456
15	4981	306353
16	5313	307221
17	5641	307789
18	5873	303277
19	6138	300787
20	6337	295466
21	6571	292153
22	6746	286573
23	6956	282906
24	7111	277329
25	7330	274618
26	7540	271754
27	7753	269154
28	7904	264654
29	8054	260442
30	8274	258653
31	8455	255783
32	8648	253427
33	8832	250933
34	9013	248506
35	9163	245377
36	9379	244118
37	9532	241310
38	9710	239268
39	9886	237264
40	10093	236095
41	10235	233469
42	10470	233022
43	10647	231350
44	10850	230279
45	10995	228046
46	11171	226520
47	11342	224969
48	11551	224195
49	11722	222729
50	11896	221364
51	12066	219979
52	12210	218172
53	12415	217498
54	12621	216863
55	12830	216278
56	13000	215076
57	13208	214525
58	13387	213522
59	13594	212976
60	13800	212438
61	13970	211363
62	14178	210873
63	14385	210392
64	14597	209981
65	14805	209524
66	15007	208989
67	15149	207643
68	15323	206752
69	15496	205880
70	15641	204665
71	15849	204278
72	16056	203897
73	16275	203665
74	16497	203465
75	16724	203337
76	16906	202657
77	17097	202106
78	17308	201782
79	17515	201431
80	17721	201060
81	17932	200753
82	18134	200351
83	18279	199331
84	18454	198661
85	18628	197980
86	18775	197032
87	18985	196755
88	19131	195833
89	19343	195582
90	19552	195308
91	19759	195016
92	19967	194734
93	20173	194438
94	20389	194239
95	20602	194003
96	20746	193131
97	20952	192847
98	21160	192580
99	21375	192380
100	21589	192166
101	21795	191889
102	22001	191605
103	22179	191081
104	22387	190828
105	22562	190287
106	22738	189771
107	22913	189245
108	23085	188709
109	23257	188170
110	23458	187882
111	23669	187666
112	23891	187537
113	24119	187454
114	24329	187231
115	24545	187056
116	24719	186555
117	24929	186338
118	25141	186128
119	25323	185705
120	25531	185473
121	25737	185226
122	25941	184964
123	26150	184740
124	26299	184098
125	26510	183891
126	26656	183233
127	26866	183028
128	27079	182838
129	27229	182226
130	27436	182000
131	27641	181761
132	27853	181570
133	28059	181336
134	28272	181155
135	28486	180972
136	28659	180531
137	28805	179927
138	29020	179757
139	29194	179336
140	29367	178913
141	29583	178748
142	29795	178563
143	29970	178160
144	30115	177574
145	30290	177179
146	30466	176789
147	30670	176563
148	30874	176335
149	31089	176173
150	31264	175783
151	31409	175233
152	31586	174858
153	31759	174472
154	31975	174320
155	32153	173958
156	32300	173435
157	32509	173247
158	32726	173103
159	32906	172760
160	33056	172260
161	33232	171905
162	33445	171741
163	33594	171250
164	33805	171074
165	34014	170891
166	34225	170719
167	34407	170398
168	34624	170255
169	34845	170126
170	35056	169950
171	35270	169791
172	35481	169613
173	35656	169263
174	35835	168936
175	36041	168737
176	36250	168556
177	36462	168382
178	36674	168212
179	36821	167743
180	37066	167720
181	37272	167520
182	37486	167357
183	37669	167055
184	37881	166883
185	38028	166424
186	38238	166244
187	38410	165899
188	38623	165732
189	38832	165547
190	39043	165372
191	39253	165192
192	39428	164863
193	39575	164422
194	39722	163984
195	39936	163821
196	40153	163669
197	40296	163221
198	40506	163042
199	40716	162866
200	40864	162441
201	41075	162267
202	41295	162128
203	41511	161977
204	41719	161789
205	41931	161619
206	42104	161298
207	42283	161003
208	42495	160833
209	42640	160410
210	42854	160246
211	43033	159953
212	43242	159772
213	43450	159590
214	43664	159425
215	43873	159243
216	44085	159072
217	44302	158921
218	44479	158623
219	44694	158462
220	44906	158290
221	45123	158136
222	45331	157950
223	45543	157774
224	45756	157605
225	45966	157424
226	46149	157150
227	46360	156975
228	46535	156676
229	46745	156496
230	46958	156324
231	47171	156154
232	47385	155985
233	47532	155597
234	47708	155306
235	47922	155139
236	48098	154850
237	48275	154561
238	48487	154390
239	48702	154223
240	48880	153941
241	49090	153763
242	49308	153606
243	49452	153220
244	49665	153050
245	49877	152877
246	50026	152510
247	50269	152430
248	50444	152144
249	50659	151978
250	50812	151629
251	50988	151345
252	51201	151176
253	51416	151010
254	51638	150865
255	51850	150690
256	52061	150513
257	52238	150236
258	52413	149956
259	52622	149771
260	52837	149604
261	53058	149455
262	53275	149291
263	53481	149099
264	53693	148924
265	53871	148652
266	54085	148481
267	54298	148307
268	54472	148028
269	54683	147847
270	54893	147664
271	55067	147385
272	55286	147228
273	55497	147047
274	55672	146771
275	55889	146608
276	56103	146435
277	56321	146273
278	56535	146100
279	56748	145925
280	56958	145741
281	57165	145547
282	57380	145378
283	57601	145219
284	57817	145051
285	58026	144863
286	58235	144675
287	58450	144503
288	58669	144339
289	58882	144161
290	59092	143975
291	59306	143797
292	59520	143621
293	59739	143456
294	59889	143126
295	60103	142949
296	60318	142773
297	60527	142584
298	60742	142408
299	60955	142228
300	61166	142044
301	61377	141858
302	61594	141688
303	61801	141493
304	62016	141315
305	62230	141137
306	62443	140956
307	62654	140769
308	62834	140512
309	63073	140389
310	63289	140213
311	63463	139944
312	63672	139754
